time,grid_load,soc
267.0,13.954812107076245,94.10681016123158
268.0,13.720405070381155,94.20623338637927
269.0,13.489935504031816,94.30398654220559
270.0,13.263337268065275,94.40009768182927
271.0,13.040545333509723,94.49459438714455
272.0,12.82149576372254,94.58750377673674
273.0,12.606125696041811,94.67885251366458
274.0,12.39437332374605,94.76866681311202
275.0,12.18617787831696,94.85697244991141
276.0,11.981479612000133,94.9437947659404
277.0,11.780219780658696,95.02915867739445
278.0,11.582340626914949,95.11308868193731
279.0,11.387785363575246,95.19560886573134
280.0,11.196498157333192,95.2767429103497
281.0,11.008424112746688,95.3565140995725
282.0,10.82350925648408,95.43494532606874
283.0,10.641700521834917,95.5120590979661
284.0,10.462945733480941,95.58787754531016
285.0,10.28719359252283,95.66242242641542
286.0,10.1143936617585,95.73571513410931
287.0,9.944496351208672,95.80777670187169
288.0,9.777452903885584,95.87862780987086
289.0,9.61321538180075,95.9482887908984
290.0,9.451736652207758,96.01677963620426
291.0,9.292970374076148,96.0841200012338
292.0,9.136870984792514,96.15032921126853
293.0,8.983393687084963,96.21542626697203
294.0,8.832494436167268,96.27942984984281
295.0,8.684129927098889,96.34235832757543
296.0,8.53825758235738,96.40422975933163
297.0,8.394835539619528,96.46506190092308
298.0,8.253822639747732,96.52487220990676
299.0,8.115178414978196,96.583677850595
300.0,7.978863077307514,96.64149569898129
301.0,7.844837507074352,96.69834234758328
302.0,7.713063241732911,96.75423411020452
303.0,7.583502464814988,96.80918702661623
304.0,7.456117995077428,96.86321686716028
305.0,7.330873275831886,96.91633913727499
306.0,7.2077323644538245,96.96856908194493
307.0,7.086659922067717,97.01992169007586
308.0,6.967621203405536,97.07041169879619
309.0,6.850582046835597,97.12005359768631
310.0,6.7355088645588514,97.16886163293674
311.0,6.62236863296991,97.21684981143652
312.0,6.511128883179954,97.26403190479289
313.0,6.401757691698838,97.31042145328345
314.0,6.294223671273713,97.35603176974197
315.0,6.188495961881537,97.4008759433788
316.0,6.084544221872899,97.44496684353729
317.0,5.9823386192645875,97.48831712338703
318.0,5.881849823178446,97.53093922355498
319.0,5.783048995424006,97.57284537569575
320.0,5.685907782222542,97.6140476060017
321.0,5.590398306070119,97.65455773865439
322.0,5.496493157737333,97.6943873992177
323.0,5.4041653884034275,97.73354801797424
324.0,5.313388501922565,97.77205083320558
325.0,5.224136447219953,97.80990689441731
326.0,5.1363836108157495,97.8471270655102
327.0,5.050104809474526,97.88372202789768
328.0,4.965275282978193,97.91970228357144
329.0,4.881870687020351,97.95507815811507
330.0,4.799867086219965,97.98985980366737
331.0,4.719240947252419,98.02405720183587
332.0,4.6399691320959375,98.05768016656121
333.0,4.562028891391459,98.09073834693362
334.0,4.485397857914039,98.12324122996199
335.0,4.410054040153928,98.15519814329642
336.0,4.335975816005464,98.18661825790517
337.0,4.2631419265619765,98.21751059070633
338.0,4.191531470014926,98.2478840071557
339.0,4.121123895655526,98.2777472237909
340.0,4.051898997977105,98.30710881073276
341.0,3.9838369108765552,98.3359771941449
342.0,3.916918101953176,98.3643606586518
343.0,3.8511233669032765,98.39226734971633
344.0,3.7864338240089475,98.41970527597726
345.0,3.7228309087193936,98.44668231154769
346.0,3.660296368323304,98.47320619827468
347.0,3.5988122567106937,98.499284547961
348.0,3.5383609292227547,98.52492484454956
349.0,3.4789250375881977,98.55013444627122
350.0,3.420487524944663,98.57492058775631
351.0,3.3630316209437607,98.59929038211098
352.0,3.3065408369383222,98.62325082295837
353.0,3.250998961250506,98.64680878644569
354.0,3.1963900545193917,98.66997103321756
355.0,3.1426984451266997,98.69274421035615
356.0,3.0899087246993733,98.71513485328876
357.0,3.038005743687697,98.73714938766332
358.0,2.9869746070176886,98.75879413119243
359.0,2.936800669816523,98.78007529546646
360.0,2.8874695332097624,98.80099898773611
361.0,2.8389670401891767,98.82157121266502
362.0,2.7912792715499752,98.84179787405304
363.0,2.7443925418962887,98.86168477653057
364.0,2.6982933957137467,98.88123762722415
365.0,2.6529686035080196,98.9004620373945
366.0,2.6084051580082352,98.91936352404673
367.0,2.5645902704341594,98.93794751151364
368.0,2.5215113668260813,98.95621933301238
369.0,2.479156084436362,98.97418423217496
370.0,2.4375122681815626,98.99184736455308
371.0,2.3965679671542035,99.0092137990977
372.0,2.3563114311930966,99.02628851961359
373.0,2.3167311075112993,99.04307642618974
374.0,2.2778156373806993,99.05958233660556
375.0,2.2395538528723007,99.07581098771331
376.0,2.201934773651257,99.09176703679775
377.0,2.1649476038257505,99.10745506291244
378.0,2.128581728848788,99.12287956819395
379.0,2.0928267124720543,99.13804497915388
380.0,2.0576722937509206,99.15295564794917
381.0,2.023108384099771,99.16761585363105
382.0,1.9891250643967888,99.18202980337307
383.0,1.95571258213737,99.19620163367841
384.0,1.922861348635368,99.21013541156707
385.0,1.8905619362713282,99.22383513574295
386.0,1.858805075786967,99.2373047377414
387.0,1.8275816536250828,99.25054808305754
388.0,1.796882709314157,99.26356897225546
389.0,1.7666994328968841,99.27637114205906
390.0,1.7370231624019015,99.28895826642429
391.0,1.7078453813579777,99.30133395759356
392.0,1.6791577163499682,99.31350176713232
393.0,1.650951934615816,99.32546518694838
394.0,1.6232199416839237,99.33722765029393
395.0,1.5959537790502067,99.3487925327508
396.0,1.5691456218941682,99.36016315319932
397.0,1.5427877768333398,99.37134277477057
398.0,1.5168726797154393,99.382334605783
399.0,1.4913928934476228,99.39314180066305
400.0,1.4663411058621847,99.40376746085047
401.0,1.441710127618124,99.41421463568827
402.0,1.4174928901379498,99.42448632329797
403.0,1.3936824435791526,99.43458547143985
404.0,1.3702719548397373,99.44451497835898
405.0,1.3472547055972703,99.45427769361693
406.0,1.3246240903808577,99.46387641890954
407.0,1.302373614675516,99.47331390887098
408.0,1.280496893058379,99.48259287186414
409.0,1.2589876473662152,99.4917159707581
410.0,1.2378397048937266,99.50068582369211
411.0,1.2170469966221091,99.50950500482705
412.0,1.1966035554773742,99.51817604508415
413.0,1.1765035146179175,99.52670143287122
414.0,1.156741105750864,99.53508361479696
415.0,1.1373106574766825,99.54332499637287
416.0,1.1182065936616157,99.55142794270375
417.0,1.0994234318374434,99.55939477916634
418.0,1.080955781628131,99.5672277920767
419.0,1.0627983432029018,99.57492922934628
420.0,1.0449459057552979,99.58250130112711
421.0,1.0273933460077855,99.58994618044602
422.0,1.0101356267414816,99.5972660038282
423.0,0.9931677953505776,99.60446287191044
424.0,0.9764849824210455,99.61153885004393
425.0,0.9600824003332147,99.61849596888693
426.0,0.9439553418878273,99.62533622498756
427.0,0.9280991789551695,99.6320615813568
428.0,0.9125093611468934,99.63867396803178
429.0,0.8971814145101552,99.64517528262968
430.0,0.8821109402436766,99.65156739089232
431.0,0.867293613435386,99.65785212722156
432.0,0.8527251818212562,99.66403129520577
433.0,0.8384014645649955,99.67010666813741
434.0,0.8243183510582327,99.6760799895219
435.0,0.8104717997408587,99.68195297357798
436.0,0.7968578369411833,99.68772730572972
437.0,0.783472555735575,99.69340464309013
438.0,0.7703121148272536,99.6989866149367
439.0,0.7573727374439191,99.70447482317905
440.0,0.7446507102538966,99.70987084281857
441.0,0.7321423823004874,99.71517622240046
442.0,0.7198441639542215,99.7203924844581
443.0,0.7077525258827058,99.72552112595
444.0,0.6958639980377836,99.73056361868942
445.0,0.6841751686596994,99.73552140976665
446.0,0.6726826832979969,99.74039592196446
447.0,0.6613832438488604,99.74518855416628
448.0,0.6502736076086286,99.74990068175764
449.0,0.6393505863432063,99.754533657021
450.0,0.6286110453731072,99.75908880952369
451.0,0.6180519026738663,99.7635674464996
452.0,0.6076701279915631,99.76797085322417
453.0,0.5974627419732015,99.7723002933834
454.0,0.5874268153116993,99.77655700943637
455.0,0.5775594679052354,99.78074222297192
456.0,0.5678578680307227,99.7848571350591
457.0,0.5583192315311616,99.78890292659193
458.0,0.5489408210166449,99.79288075862829
459.0,0.539719945078786,99.79679177272305
460.0,0.5306539575183371,99.8006370912558
461.0,0.5217402565857878,99.8044178177528
462.0,0.5129762842347163,99.80813503720378
463.0,0.5043595253876844,99.81178981637325
464.0,0.49588750721446084,99.8153832041067
465.0,0.4875577984223723,99.81891623163149
466.0,0.4793680085585718,99.82238991285293
467.0,0.47131578732402996,99.82580524464512
468.0,0.4633988238990465,99.82916320713716
469.0,0.4556148462800942,99.83246476399424
470.0,0.44796162062780115,99.83571086269446
471.0,0.44043695062588484,99.83890243480043
472.0,0.4330386768508561,99.84204039622689
473.0,0.4257646761523082,99.84512564750335
474.0,0.4186128610436187,99.84815907403265
475.0,0.41158117910288305,99.85114154634499
476.0,0.4046676123839119,99.85407392034779
477.0,0.3978701768371238,99.85695703757123
478.0,0.3911869217401634,99.85979172540993
479.0,0.38461592913808507,99.86257879736021
480.0,0.37815531329294116,99.86531905325364
481.0,0.37180322014261075,99.86801327948655
482.0,0.3655578267687278,99.87066224924575
483.0,0.35941734087353555,99.87326672273034
484.0,0.3533800002655406,99.87582744736994
485.0,0.347444072353795,99.87834515803918
486.0,0.34160785365068336,99.88082057726854
487.0,0.3358696692830539,99.88325441545174
488.0,0.33022787251156793,99.88564737104966
489.0,0.324680844258116,99.88800013079066
